name,overseas,withdrawn,role,keeper,batting_type,bowling_type,team,year,batting_hand,bowling_arm,bowling_speed,spin_type
Aaron Jones,True,False,Top-order batsman,False,Right-hand bat,spin,St Kitts and Nevis Patriots,2019,R,R,slow,ls
Fabian Allen,False,False,Bowling allrounder,False,Right-hand bat,spin,St Kitts and Nevis Patriots,2019,R,L,slow,sla
Shamarh Brooks,False,False,Top-order batsman,False,Right-hand bat,spin,St Kitts and Nevis Patriots,2019,R,R,slow,ls
Sheldon Cottrell,False,False,Bowler,False,Right-hand bat,seam,St Kitts and Nevis Patriots,2019,R,L,fast,
Rayad Emrit,False,False,Bowling allrounder,False,Right-hand bat,seam,St Kitts and Nevis Patriots,2019,R,R,med,
Laurie Evans,True,False,Top-order batsman,False,Right-hand bat,spin,St Kitts and Nevis Patriots,2019,R,R,slow,os
Alzarri Joseph,False,False,Bowler,False,Right-hand bat,seam,St Kitts and Nevis Patriots,2019,R,R,fast,
Evin Lewis,False,False,Opening batsman,False,Left-hand bat,,St Kitts and Nevis Patriots,2019,L,,,
Jeremiah Louis,False,False,Bowler,False,Right-hand bat,seam,St Kitts and Nevis Patriots,2019,R,R,med,
Mohammad Hafeez,True,False,Allrounder,False,Right-hand bat,spin,St Kitts and Nevis Patriots,2019,R,R,slow,os
Jason Mohammed,False,False,Middle-order batsman,False,Right-hand bat,spin,St Kitts and Nevis Patriots,2019,R,R,slow,os
Kjorn Ottley,False,False,Opening batsman,False,Left-hand bat,spin,St Kitts and Nevis Patriots,2019,L,R,slow,os
Devon Thomas,False,False,Top-order batsman,False,Right-hand bat,seam,St Kitts and Nevis Patriots,2019,R,R,med,
Usama Mir,True,False,Bowler,False,Right-hand bat,spin,St Kitts and Nevis Patriots,2019,R,R,slow,ls
Afif Hossain,False,True,Allrounder,False,Left-hand bat,spin,St Kitts and Nevis Patriots,2019,L,R,slow,os
Isuru Udana,False,True,Allrounder,False,Right-hand bat,seam,St Kitts and Nevis Patriots,2019,R,L,med,
Rassie van der Dussen,False,True,Top-order batsman,False,Right-hand bat,spin,St Kitts and Nevis Patriots,2019,R,R,slow,ls
Daren Sammy,False,False,Allrounder,False,Right-hand bat,seam,St Lucia Zouks,2019,R,R,med,
Chris Barnwell,False,False,Allrounder,False,Right-hand bat,seam,St Lucia Zouks,2019,R,R,med,
John Campbell,False,False,Opening batsman,False,Left-hand bat,spin,St Lucia Zouks,2019,L,R,slow,os
Roland Cato,False,False,Middle-order batsman,False,Right-hand bat,seam,St Lucia Zouks,2019,R,R,med,
Rahkeem Cornwall,False,False,Allrounder,False,Right-hand bat,spin,St Lucia Zouks,2019,R,R,slow,os
Colin de Grandhomme,True,False,Allrounder,False,Right-hand bat,seam,St Lucia Zouks,2019,R,R,med,
Cameron Delport,True,False,Top-order batsman,False,Left-hand bat,seam,St Lucia Zouks,2019,L,R,med,
Fawad Ahmed,True,False,Bowler,False,Right-hand bat,spin,St Lucia Zouks,2019,R,R,slow,ls
