name,overseas,withdrawn,role,keeper,batting,bowling,team,year,batting_hand,bowling_arm,bowling_speed,bowling_type,spin_type
Dale Steyn,False,False,Bowler,False,Right-hand bat,Right-arm fast,Royal Challengers Bangalore,2009,R,R,fast,seam,
Ross Taylor,False,False,Middle-order batsman,False,Right-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2009,R,R,slow,spin,os
Robin Uthappa,False,False,Batsman,False,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2009,R,R,med,seam,
Roelof van der Merwe,False,False,Allrounder,False,Right-hand bat,Slow left-arm orthodox,Royal Challengers Bangalore,2009,R,L,slow,spin,sla
Vinay Kumar,False,False,Bowler,False,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2009,R,R,med,seam,
Cameron White,False,False,Middle-order batsman,False,Right-hand bat,Legbreak googly,Royal Challengers Bangalore,2009,R,R,slow,spin,ls
Tinu Yohannan,False,False,,False,Right-hand bat,Right-arm medium-fast,Royal Challengers Bangalore,2009,R,R,med,seam,
Kevin Pietersen,False,True,Top-order batsman,False,Right-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2009,R,R,slow,spin,os
Rahul Dravid,False,False,Top-order batsman,False,Right-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2007,R,R,slow,spin,os
Abdur Razzak,False,False,Bowler,False,Left-hand bat,Slow left-arm orthodox,Royal Challengers Bangalore,2007,L,L,slow,spin,sla
Neravanda Aiyappa,False,False,,False,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2007,R,R,med,seam,
Balachandra Akhil,False,False,Bowler,False,Right-hand bat,Right-arm medium-fast,Royal Challengers Bangalore,2007,R,R,med,seam,
KP Appanna,False,False,,False,Right-hand bat,Slow left-arm orthodox,Royal Challengers Bangalore,2007,R,L,slow,spin,sla
Jagadeesh Arunkumar,False,False,,False,Right-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2007,R,R,slow,spin,os
Mark Boucher,False,False,Wicketkeeper batsman,True,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2007,R,R,med,seam,
Shivnarine Chanderpaul,False,False,Batsman,False,Left-hand bat,Legbreak,Royal Challengers Bangalore,2007,L,R,slow,spin,ls
Bharat Chipli,False,False,Batsman,False,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2007,R,R,med,seam,
Shreevats Goswami,False,False,Wicketkeeper batsman,True,Left-hand bat,,Royal Challengers Bangalore,2007,L,,,,
Wasim Jaffer,False,False,Top-order batsman,False,Right-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2007,R,R,slow,spin,os
Sunil Joshi,False,False,Allrounder,False,Left-hand bat,Slow left-arm orthodox,Royal Challengers Bangalore,2007,L,L,slow,spin,sla
Jacques Kallis,False,False,Allrounder,False,Right-hand bat,Right-arm fast-medium,Royal Challengers Bangalore,2007,R,R,fast,seam,
Zaheer Khan,False,False,Bowler,False,Right-hand bat,Left-arm fast-medium,Royal Challengers Bangalore,2007,R,L,fast,seam,
Virat Kohli,False,False,Top-order batsman,False,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2007,R,R,med,seam,
Praveen Kumar,False,False,Bowler,False,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2007,R,R,med,seam,
Anil Kumble,False,False,Bowler,False,Right-hand bat,Legbreak googly,Royal Challengers Bangalore,2007,R,R,slow,spin,ls
Misbah-ul-Haq,False,False,Middle-order batsman,False,Right-hand bat,Legbreak,Royal Challengers Bangalore,2007,R,R,slow,spin,ls
